Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13","Regional strain value, cardiac phase_14"
71,0,0.00979120397898137,-0.0108916129822239,-0.0360365657050019,-0.0616712404133339,-0.0586855500155339,-0.106418336990385,-0.0177104109136864,-0.0162069430554613,-0.107912960284501,-0.0953873897150117,0.039741990259238,0.116438584502158,0.00435362374234671
72,0,0.0316621285824601,0.00289885571372639,-0.00375657496642468,-0.0599121508135295,-0.0229041915971108,-0.0684193898292819,0.0225247434550506,0.00768974521695953,-0.084038075162659,-0.0704168245039772,0.0477248785155391,0.13490325836585,0.0427036594757197
73,0,0.0305987550248519,0.0146344072732489,0.00223507359383324,-0.0280115535613651,-0.0149772117555885,-0.0628496886796124,0.0232122343784573,0.0183512362401366,-0.07080795530831,-0.0611455489270608,0.0510604456536388,0.130644123512306,0.0430315782323394
74,0,0.0333735414425165,0.010116191993309,0.00533684109823906,-0.0392019978403955,-0.0195926836381709,-0.0629542005776593,0.0209210112838496,0.00605156640077276,-0.0753812916413045,-0.0609694694548014,0.035779056830453,0.120325742799199,0.0469319165894964
75,0,0.00840602271528335,-0.0102344691587331,-0.0454876006401399,-0.0567478809173422,-0.0685135795571366,-0.112936989698084,-0.0254849627871118,-0.0334707197882405,-0.110771971238115,-0.0948800231068549,0.0178960886567638,0.0968221673088623,0.00252607465108934
76,0,0.00834571463308009,-0.0128523717064581,-0.0472276705067647,-0.070658243125254,-0.0719271816564795,-0.115398363009998,-0.026586709644984,-0.0343984600110738,-0.11832733102971,-0.103039635616316,0.0118186317244471,0.0978328152569576,-0.00111007341949776
77,0,0.0418338067774051,0.0160484191661685,0.0126861693839535,-0.0437351209268662,-0.0298213635676938,-0.0694283959404149,0.0100765034322277,-0.00991321525923738,-0.0897858159150726,-0.0757058960456504,0.0254534858156623,0.119611315121165,0.0289383190272563
78,0,0.0366419830658047,0.0057487609026452,0.00456632319084305,-0.0581964538853713,-0.029459394122002,-0.0669668329415899,0.0162028998714323,-0.00874994958119935,-0.0842432286961374,-0.0683126392098437,0.0268188662043536,0.116502447318986,0.0421152736074784
79,0,0.0287728563177065,-0.00166668274675741,-0.00215427510037347,-0.0612606425080565,-0.0303951795527792,-0.0652423678113293,0.0151802990229501,-0.00912447042159692,-0.0753122131136363,-0.0593694146296572,0.0316419030464834,0.108407263133691,0.0514089763504364
80,0,0.0116237253781033,-0.0109129982579241,-0.0470337366019036,-0.0678324626213394,-0.0749081439886909,-0.112037080026644,-0.0290056254052362,-0.04639641804567,-0.115055137075281,-0.0979589414288291,0.00677706212759088,0.0918352835408756,0.00232494187762367
81,0,0.00414706499235495,-0.0303485575462215,-0.0656443955514893,-0.109092879666516,-0.0855142603966009,-0.112311016914684,-0.028091544666095,-0.0488026673228911,-0.120612319285287,-0.103155587251266,0.0246614831600271,0.107162735288384,0.00545597860875868
82,0,0.0482501045018002,0.0255986733769686,0.0142280150024012,-0.0398613955464107,-0.0400506268743325,-0.0737270149637852,-0.00103465170995898,-0.0297344682788886,-0.0948535775589202,-0.0822130572551103,0.00175425565615783,0.103894243469608,0.0211985901359057
83,0,0.041904931112918,0.0134740482051354,0.00730170696656085,-0.0518375288450611,-0.0404185375917877,-0.0709795476589529,0.00156546007942215,-0.0281744496800977,-0.0885521352545662,-0.0735937999400494,0.0158645749737361,0.105084216229968,0.0316914395092842
