Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13"
77,0,-0.189378070316582,-0.0475991749110445,-0.112859986695444,-0.193186036316312,-0.200497837655738,-0.228150605616657,-0.14112658249417,-0.186138277982974,-0.148515917913571,-0.0528095382244999,-0.0781692442836417,-0.176581706368638
78,0,-0.165405500209699,-0.020530829674687,-0.158009163110686,-0.200171259748489,-0.231321170887214,-0.249688408596862,-0.158924615317205,-0.231206259300831,-0.150173370285375,-0.063481352386328,-0.0918498366016653,-0.16432654821482
79,0,-0.123253051834201,-0.0227294386630836,-0.181134125434403,-0.20830071628126,-0.231647340039809,-0.249006217406475,-0.175623805079462,-0.227032786579044,-0.139031744598074,-0.11219638223931,-0.117796089576644,-0.150233457801709
80,0,-0.0841016603446614,-0.0576652780184788,-0.126129597425074,-0.182913616953618,-0.179438536644779,-0.243425219502353,-0.141089057701384,-0.108601472441666,-0.140740621615137,-0.0238892924942998,-0.0312165716903819,-0.0811540619517905
81,0,-0.129701301197597,-0.0610429527584507,-0.120323415816232,-0.186593064091374,-0.199072691933163,-0.24496874632871,-0.155669921332753,-0.147215373403704,-0.149438926614877,-0.0319642234261481,-0.0444056784986852,-0.13257171056198
82,0,-0.152457314826746,-0.0565750612443241,-0.129863720412877,-0.183725383476044,-0.214089848347944,-0.259769908311098,-0.149227595736786,-0.170087193806769,-0.143271350800861,-0.00698087838211647,-0.0293967762037529,-0.128623625910657
83,0,-0.166446549384894,-0.0581161363180492,-0.13631220868938,-0.188111052758575,-0.211140448401012,-0.253480150708803,-0.13099908910549,-0.177348411479862,-0.139124381641596,-0.016934017592326,-0.0428233468981508,-0.136677970549261
84,0,-0.165568110340893,-0.0461524879777536,-0.152379281492634,-0.190208704700295,-0.224371738709073,-0.256963082326942,-0.128121499098419,-0.202823339849244,-0.136338309961632,-0.0242927988431633,-0.0536470944701681,-0.142002606625148
85,0,-0.146612433125332,-0.0228043295153955,-0.178404452059591,-0.19720475531846,-0.259865983331051,-0.273909249630304,-0.14327252439529,-0.243559649790907,-0.129303545715962,-0.030673510162937,-0.0586467294663433,-0.137762480188325
86,0,-0.108635340903495,-0.0674704572369283,-0.142150980963725,-0.185949520643846,-0.197555428273136,-0.2617628586975,-0.132824186190009,-0.136007705512897,-0.137155197315676,-0.0109194400917436,-0.0232705046282954,-0.0855371586492722
